flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
SK1407,Copenhagen,CPH,Europe,DK,2018-04-20T13:20:00Z,523,92.571,268.6212054
LH2417,Munich,MUC,Europe,DE,2018-04-20T13:25:00Z,1316,232.932,675.91875
SK491,Oslo,OSL,Europe,NO,2018-04-20T13:40:00Z,417,107.169,310.9814732
EK158,Dubai,DXB,Asia,AE,2018-04-20T13:05:00Z,4760,842.52,2444.8125
LO8124,Tallinn,TLL,Europe,EE,2018-04-20T12:40:00Z,379,97.403,282.6426339
BT108,Riga,RIX,Europe,LV,2018-04-20T13:35:00Z,443,113.851,330.3712054
SK4224,Vaasa,VAA,Europe,FI,2018-04-20T12:45:00Z,460,118.22,343.0491071
EW371,Cologne,CGN,Europe,DE,2018-04-20T13:25:00Z,1168,206.736,599.9035714
SK716,Helsinki,HEL,Europe,FI,2018-04-20T14:00:00Z,397,102.029,296.0662946
2N256,Karlstad,KSD,Europe,SE,2018-04-20T13:50:00Z,259,66.563,193.1515625
SK195,Kalmar,KLR,Europe,SE,2018-04-20T12:50:00Z,313,80.441,233.4225446
DY4043,Lulea,LLA,Europe,SE,2018-04-20T14:00:00Z,727,128.679,373.3988839
AY826,Helsinki,HEL,Europe,FI,2018-04-20T04:50:00Z,397,102.029,296.0662946
TK1792,Istanbul IST,IST,Europe,TR,2018-04-20T05:45:00Z,2177,385.329,1118.142187
BA771,London LHR,LHR,Europe,GB,2018-04-20T05:50:00Z,1454,257.358,746.7977679
TP783,Lisbon,LIS,Europe,PT,2018-04-20T12:50:00Z,2993,529.761,1537.252902
BA779,London LHR,LHR,Europe,GB,2018-04-20T13:45:00Z,1454,257.358,746.7977679
SK1764,Riga,RIX,Europe,LV,2018-04-20T14:00:00Z,443,113.851,330.3712054
SK740,Vilnius,VNO,Europe,LT,2018-04-20T13:45:00Z,676,119.652,347.2044643
SK1605,Zurich,ZRH,Europe,CH,2018-04-20T14:15:00Z,1471,260.367,755.5292411
DY4051,Malmo,MMX,Europe,SE,2018-04-20T14:00:00Z,513,90.801,263.4850446
KL1104,Amsterdam,AMS,Europe,NL,2018-04-20T04:30:00Z,1127,199.479,578.8453125
SK2002,Lulea,LLA,Europe,SE,2018-04-20T14:15:00Z,727,128.679,373.3988839
SK579,Paris CDG,CDG,Europe,FR,2018-04-20T14:10:00Z,1523,269.571,782.2372768
SK1555,Amsterdam,AMS,Europe,NL,2018-04-20T14:15:00Z,1127,199.479,578.8453125
SK2491,Aarhus,AAR,Europe,DK,2018-04-20T14:25:00Z,585,103.545,300.4654018
SK4244,Tampere,TMP,Europe,FI,2018-04-20T13:30:00Z,395,101.515,294.5747768
SK163,Goteborg,GOT,Europe,SE,2018-04-20T14:20:00Z,397,102.029,296.0662946
SK945,Chicago,ORD,America,US,2018-04-20T14:35:00Z,6890,1219.53,3538.814732
AY814,Helsinki,HEL,Europe,FI,2018-04-20T14:35:00Z,397,102.029,296.0662946
LH807,Frankfurt,FRA,Europe,DE,2018-04-20T14:35:00Z,1188,210.276,610.1758929
DY4287,Helsinki,HEL,Europe,FI,2018-04-20T14:30:00Z,397,102.029,296.0662946
SK2647,Hamburg,HAM,Europe,DE,2018-04-20T14:45:00Z,812,143.724,417.05625
VY1266,Barcelona,BCN,Europe,ES,2018-04-20T14:20:00Z,2281,403.737,1171.558259
SK2549,Manchester,MAN,Europe,GB,2018-04-20T14:20:00Z,1403,248.331,720.6033482
OS314,Vienna,VIE,Europe,AT,2018-04-20T14:55:00Z,1243,220.011,638.4247768
2N1006,Jonkoping,JKG,Europe,SE,2018-04-20T14:50:00Z,285,73.245,212.5412946
SK2473,Trondheim,TRD,Europe,NO,2018-04-20T15:00:00Z,612,108.324,314.3330357
SK673,Frankfurt,FRA,Europe,DE,2018-04-20T15:00:00Z,1188,210.276,610.1758929
SK2625,Dusseldorf,DUS,Europe,DE,2018-04-20T15:10:00Z,1149,203.373,590.1448661
D8230,Copenhagen,CPH,Europe,DK,2018-04-20T15:15:00Z,523,92.571,268.6212054
DY4053,Malmo,MMX,Europe,SE,2018-04-20T15:15:00Z,513,90.801,263.4850446
A3763,Athens,ATH,Europe,GR,2018-04-20T14:55:00Z,2411,426.747,1238.328348
SK1748,Tallinn,TLL,Europe,EE,2018-04-20T15:00:00Z,379,97.403,282.6426339
SK1523,London LHR,LHR,Europe,GB,2018-04-20T14:15:00Z,1454,257.358,746.7977679
SK2167,Goteborg,GOT,Europe,SE,2018-04-20T15:05:00Z,397,102.029,296.0662946
2N554,Kramfors,KRF,Europe,SE,2018-04-20T15:25:00Z,401,103.057,299.0493304
SK407,Copenhagen,CPH,Europe,DK,2018-04-20T14:15:00Z,523,92.571,268.6212054
DY4083,Goteborg,GOT,Europe,SE,2018-04-20T15:45:00Z,397,102.029,296.0662946
SK718,Helsinki,HEL,Europe,FI,2018-04-20T15:35:00Z,397,102.029,296.0662946
SK885,Oslo,OSL,Europe,NO,2018-04-20T15:35:00Z,417,107.169,310.9814732
SK2030,Umea,UME,Europe,SE,2018-04-20T15:45:00Z,514,90.978,263.9986607
SK016,Lulea,LLA,Europe,SE,2018-04-20T15:50:00Z,727,128.679,373.3988839
DY817,Oslo,OSL,Europe,NO,2018-04-20T14:30:00Z,417,107.169,310.9814732
SK121,Malmo,MMX,Europe,SE,2018-04-20T15:55:00Z,513,90.801,263.4850446
QR168,Doha,DOH,Asia,QA,2018-04-20T15:40:00Z,4590,812.43,2357.497768
SK499,Oslo,OSL,Europe,NO,2018-04-20T14:45:00Z,417,107.169,310.9814732
KL1116,Amsterdam,AMS,Europe,NL,2018-04-20T15:30:00Z,1127,199.479,578.8453125
SK1127,Ronneby,RNB,Europe,SE,2018-04-20T15:55:00Z,385,98.945,287.1171875
DY4015,Umea,UME,Europe,SE,2018-04-20T15:25:00Z,514,90.978,263.9986607
IB3315,Madrid,MAD,Europe,ES,2018-04-20T12:45:00Z,2596,459.492,1333.347321
